--- Running Processes ---
PID: 18516 | Name: RuntimeBroker.exe
PID: 11428 | Name: HPSystemEventUtilityHost.exe
PID: 16032 | Name: Cloudflare WARP.exe
PID: 22912 | Name: TabletService.exe
PID: 10580 | Name: EdgeGameAssist.exe
PID: 18048 | Name: XboxPcAppFT.exe
PID: 10220 | Name: ExpressVPNNotificationService.exe
PID: 9532 | Name: svchost.exe
PID: 2620 | Name: ApplicationFrameHost.exe
PID: 26668 | Name: SystemSettings.exe
PID: 29292 | Name: svchost.exe
PID: 18880 | Name: UserOOBEBroker.exe
PID: 10024 | Name: AppActions.exe
PID: 20244 | Name: Microsoft.SharePoint.exe
PID: 17024 | Name: browser.exe
PID: 18508 | Name: browser.exe
PID: 9768 | Name: browser.exe
PID: 15804 | Name: browser.exe
PID: 13088 | Name: browser.exe
PID: 1752 | Name: browser.exe
PID: 19116 | Name: browser.exe
PID: 2536 | Name: browser.exe
PID: 26660 | Name: browser.exe
PID: 23188 | Name: browser.exe
PID: 4724 | Name: browser.exe
PID: 21704 | Name: browser.exe
PID: 10160 | Name: browser.exe
PID: 1820 | Name: CocCocCrashHandler.exe
PID: 19416 | Name: CocCocCrashHandler64.exe
PID: 15432 | Name: svchost.exe
PID: 19104 | Name: msedge.exe
PID: 2260 | Name: msedge.exe
PID: 5792 | Name: msedge.exe
PID: 13368 | Name: msedge.exe
PID: 28604 | Name: msedge.exe
PID: 14108 | Name: msedge.exe
PID: 23540 | Name: msedge.exe
PID: 27760 | Name: mcafee-security.exe
PID: 22700 | Name: RuntimeBroker.exe
PID: 24884 | Name: mcafee-security-ft.exe
PID: 6720 | Name: BridgeCommunication.exe
PID: 15648 | Name: browser.exe
PID: 21388 | Name: browser.exe
PID: 12092 | Name: backgroundTaskHost.exe
PID: 28152 | Name: RuntimeBroker.exe
PID: 15788 | Name: CapCut.exe
PID: 20148 | Name: CapCut.exe
PID: 8964 | Name: parfait_crash_handler.exe
PID: 12716 | Name: CapCut.exe
PID: 7576 | Name: CapCut.exe
PID: 23680 | Name: CapCut.exe
PID: 15604 | Name: browser.exe
PID: 26384 | Name: browser.exe
PID: 18444 | Name: dllhost.exe
PID: 24400 | Name: ShellHost.exe
PID: 15096 | Name: backgroundTaskHost.exe
PID: 12368 | Name: OfficeClickToRun.exe
PID: 22620 | Name: AppVShNotify.exe
PID: 10792 | Name: SearchIndexer.exe
PID: 10672 | Name: brave.exe
PID: 28360 | Name: brave.exe
PID: 21860 | Name: brave.exe
PID: 11676 | Name: brave.exe
PID: 16816 | Name: brave.exe
PID: 19860 | Name: brave.exe
PID: 22428 | Name: brave.exe
PID: 26952 | Name: brave.exe
PID: 16064 | Name: brave.exe
PID: 21868 | Name: brave.exe
PID: 21432 | Name: brave.exe
PID: 18672 | Name: brave.exe
PID: 14984 | Name: brave.exe
PID: 13776 | Name: brave.exe
PID: 12504 | Name: brave.exe
PID: 27744 | Name: CapCut.exe
PID: 14248 | Name: WindowsPackageManagerServer.exe
PID: 18832 | Name: DataExchangeHost.exe
