--- Running Processes ---
PID: 16632 | Name: UserOOBEBroker.exe
PID: 5596 | Name: wlanext.exe
PID: 31224 | Name: backgroundTaskHost.exe
PID: 27820 | Name: WINWORD.EXE
PID: 11972 | Name: ai.exe
PID: 28108 | Name: ai.exe
PID: 21152 | Name: browser.exe
PID: 10176 | Name: browser.exe
PID: 10632 | Name: browser.exe
PID: 28596 | Name: browser.exe
PID: 16728 | Name: browser.exe
PID: 19152 | Name: browser.exe
PID: 1512 | Name: browser.exe
PID: 12236 | Name: browser.exe
PID: 27176 | Name: browser.exe
PID: 15060 | Name: browser.exe
PID: 10980 | Name: browser.exe
PID: 16472 | Name: browser.exe
PID: 17588 | Name: browser.exe
PID: 22860 | Name: backgroundTaskHost.exe
PID: 8164 | Name: svchost.exe
PID: 3292 | Name: backgroundTaskHost.exe
PID: 8696 | Name: RuntimeBroker.exe
PID: 28896 | Name: svchost.exe
PID: 24232 | Name: browser.exe
PID: 8816 | Name: browser.exe
PID: 28604 | Name: browser.exe
PID: 21620 | Name: browser.exe
PID: 13188 | Name: browser.exe
PID: 13952 | Name: browser.exe
PID: 12308 | Name: browser.exe
PID: 4212 | Name: browser.exe
PID: 10584 | Name: Microsoft.SharePoint.exe
PID: 30648 | Name: WinStore.App.exe
PID: 21820 | Name: WindowsPackageManagerServer.exe
PID: 18696 | Name: browser.exe
PID: 1904 | Name: browser.exe
PID: 440 | Name: backgroundTaskHost.exe
PID: 28540 | Name: FileCoAuth.exe
PID: 26324 | Name: Taskmgr.exe
PID: 22116 | Name: dllhost.exe
PID: 31852 | Name: browser.exe
PID: 18580 | Name: browser.exe
PID: 10412 | Name: browser.exe
PID: 25908 | Name: SystemSettings.exe
PID: 27100 | Name: LockApp.exe
PID: 23672 | Name: RuntimeBroker.exe
PID: 27224 | Name: svchost.exe
PID: 28592 | Name: HPSystemEventUtilityHost.exe
PID: 25224 | Name: Code.exe
PID: 22036 | Name: Code.exe
PID: 4208 | Name: Code.exe
